new_id,old_id
CCMSLIB00012722605,CCMSLIB00012173319
CCMSLIB00012722606,CCMSLIB00012173320
CCMSLIB00012722607,CCMSLIB00012173321
CCMSLIB00012722608,CCMSLIB00012173322
CCMSLIB00012722609,CCMSLIB00012173323
CCMSLIB00012722610,CCMSLIB00012173325
CCMSLIB00012722611,CCMSLIB00012173326
CCMSLIB00012722612,CCMSLIB00012173328
CCMSLIB00012722613,CCMSLIB00012173329
CCMSLIB00012722614,CCMSLIB00012173330
CCMSLIB00012722615,CCMSLIB00012173331
CCMSLIB00012722616,CCMSLIB00012173332
CCMSLIB00012722617,CCMSLIB00012173333
CCMSLIB00012722618,CCMSLIB00012173334
CCMSLIB00012722619,CCMSLIB00012173335
CCMSLIB00012722620,CCMSLIB00012173336
CCMSLIB00012722621,CCMSLIB00012173337
CCMSLIB00012722622,CCMSLIB00012173338
CCMSLIB00012722623,CCMSLIB00012173339
CCMSLIB00012722624,CCMSLIB00012173340
CCMSLIB00012722625,CCMSLIB00012173341
CCMSLIB00012722626,CCMSLIB00012173342
CCMSLIB00012722627,CCMSLIB00012173343
CCMSLIB00012722628,CCMSLIB00012173344
CCMSLIB00012722629,CCMSLIB00012173345
CCMSLIB00012722630,CCMSLIB00012173346
CCMSLIB00012722631,CCMSLIB00012173347
CCMSLIB00012722632,CCMSLIB00012173354
CCMSLIB00012722633,CCMSLIB00012173355
CCMSLIB00012722634,CCMSLIB00012173357
CCMSLIB00012722635,CCMSLIB00012173360
CCMSLIB00012722636,CCMSLIB00012173361
CCMSLIB00012722637,CCMSLIB00012173363
CCMSLIB00012722638,CCMSLIB00012173364
CCMSLIB00012722639,CCMSLIB00012173365
CCMSLIB00012722640,CCMSLIB00012173366
CCMSLIB00012722641,CCMSLIB00012173367
CCMSLIB00012722642,CCMSLIB00012173369
CCMSLIB00012722643,CCMSLIB00012173371
CCMSLIB00012722644,CCMSLIB00012173372
CCMSLIB00012722645,CCMSLIB00012173375
CCMSLIB00012722646,CCMSLIB00012173384
CCMSLIB00012722647,CCMSLIB00012173387
CCMSLIB00012722648,CCMSLIB00012173388
CCMSLIB00012722649,CCMSLIB00012173389
CCMSLIB00012722650,CCMSLIB00012173394
CCMSLIB00012722651,CCMSLIB00012173401
CCMSLIB00012722652,CCMSLIB00012173414
CCMSLIB00012722653,CCMSLIB00012173415
CCMSLIB00012722654,CCMSLIB00012173416
CCMSLIB00012722655,CCMSLIB00012173484
CCMSLIB00012722656,CCMSLIB00012173485
CCMSLIB00012722657,CCMSLIB00012173486
CCMSLIB00012722658,CCMSLIB00012173487
CCMSLIB00012722659,CCMSLIB00012173488
CCMSLIB00012722660,CCMSLIB00012173489
CCMSLIB00012722661,CCMSLIB00012173490
CCMSLIB00012722662,CCMSLIB00012173491
CCMSLIB00012722663,CCMSLIB00012173492
CCMSLIB00012722664,CCMSLIB00012173493
CCMSLIB00012722665,CCMSLIB00012173494
CCMSLIB00012722666,CCMSLIB00012173495
CCMSLIB00012722667,CCMSLIB00012173496
CCMSLIB00012722668,CCMSLIB00012173497
CCMSLIB00012722669,CCMSLIB00012173498
CCMSLIB00012722670,CCMSLIB00012173499
CCMSLIB00012722671,CCMSLIB00012173500
CCMSLIB00012722672,CCMSLIB00012173501
CCMSLIB00012722673,CCMSLIB00012173504
CCMSLIB00012722674,CCMSLIB00012173505
CCMSLIB00012722675,CCMSLIB00012173506
CCMSLIB00012722676,CCMSLIB00012173507
CCMSLIB00012722677,CCMSLIB00012173508
CCMSLIB00012722678,CCMSLIB00012173510
CCMSLIB00012722679,CCMSLIB00012173511
CCMSLIB00012722680,CCMSLIB00012173512
CCMSLIB00012722681,CCMSLIB00012173513
CCMSLIB00012722682,CCMSLIB00012173514
CCMSLIB00012722683,CCMSLIB00012173515
CCMSLIB00012722684,CCMSLIB00012173516
CCMSLIB00012722685,CCMSLIB00012173517
CCMSLIB00012722686,CCMSLIB00012173518
